x     y     class
-0.33  0.53 a
-0.59  0.06 a
 0.50 -0.06 a
-0.59 -0.54 a
 0.90 -0.19 a
-0.58 -0.09 a
 0.07  0.36 a
 0.10  0.68 a
 0.12 -0.27 a
 0.11 -0.50 a
-0.61 -0.54 a
-0.26 -0.71 a
 0.02  0.13 a
 0.07 -0.86 a
 0.55  0.15 a
-0.48 -0.62 a
-0.46 -0.60 a
-0.24 -0.62 a
-0.27 -0.37 a
 0.39 -0.60 a
 0.15  0.23 a
 0.40 -0.20 a
 0.46 -0.78 a
-0.26  0.16 a
-0.01 -0.20 a
-0.20 -0.37 a
 0.21 -0.20 a
 0.15  0.62 a
 1.07 -0.48 b
 1.12  0.31 b
-0.66  1.30 b
 1.38  1.21 b
 0.36  1.12 b
 0.63 -1.42 b
 0.20 -1.32 b
 0.56  1.50 b
-1.74 -0.10 b
 0.79  0.81 b
 1.44 -0.90 b
-1.96  0.12 b
 0.72 -0.87 b
-0.71 -0.84 b
-1.20 -0.56 b
-1.14  0.54 b
-0.15 -1.22 b
 0.55 -1.31 b
-0.74 -1.23 b
-0.30  1.58 b
-0.45 -1.06 b
 0.51 -1.25 b
 1.36 -1.36 b
-0.31 -1.55 b
 0.87  0.75 b
-1.16  0.38 b
 1.48  0.83 b
-1.38  0.24 b
-1.67  0.70 b
-1.35  0.11 b
 0.91 -0.54 b
 1.00  1.14 b
 0.70  1.55 b
 0.22 -1.80 b
 0.40  1.14 b
 1.47  1.04 b
-0.74  1.79 b
-0.93  0.56 b
-1.23  0.37 b
 1.57 -0.83 b
 0.27 -1.62 b
-0.88  1.20 b
 0.42  1.17 b
-1.21 -0.30 b
